name,count,rank
alice,147,#1
little,44,#2
queen,28,#3
rabbit,28,#4
king,24,#5
voice,19,#6
duchess,18,#7
mouse,18,#8
white,18,#9
door,17,#10
time,17,#11
looked,16,#12
found,15,#13
heard,15,#14
round,15,#15
caterpillar,14,#15
moment,14,#16
dont,13,#17
dear,12,#18
head,12,#19
house,12,#20
cat,11,#21
hatter,11,#22
looking,11,#23
suddenly,11,#24
called,10,#25
ill,10,#26
low,10,#27
near,10,#28
