name,count,rank
"love","148",1
"like","105",2
"looking","75",3
"fun","57",4
"hi","54",5
"good","52",6
"major","51",7
"time","47",8
"dogs","38",9
"know","38",10
"food","35",11
"music","34",12
"dont","33",13
"one","31",14
"new","29",15
"loves","29",16
"big","28",17
"someone","28",18
"friends","27",19
"make","27",20
"coffee","26",21
"funny","25",22
"bc","24",23
"fan","23",24
"long","22",25
"people","22",26
"really","21",27
"sports","21",28
"girl","21",29
"get","20",30
