name,count,rank
"love","233",1
"like","197",2
"major","88",3
"looking","87",4
"hi","65",5
"food","57",6
"good","52",7
"friends","52,8"
"new","49",9
"big","45"10
"go","44",11
"time","44",12
"people","41",13
"music","40",14
"dogs","38",15
"know","37",16
"get","37",17
"fun","37",18
"make","36"19
"dont","36",20
"really","34",21
"someone","34",22
"fan","33",23
"play","33",24
"3","30",25
"things","29",26
"movies","28",27
"want","27",28
"always","27",29
"girl","27",30
