name,count,rank
majesty,200,#1
country,87,#2
little,82,#3
feet,79,#4
people,77,#5
emperor,75,#6
hundred,770,#7
time,70,#8
left,63,#9
court,62,#10
found,60,#11
illustration,60,#12
hand,52,#13
manner,50,#14
ground,46,#15
master,44,#16
observed,44,#17
glumdalclitch,43,#18
king,43,#19
